Claim,Source
Vaccination must be made compulsory,idebate
Male infant circumcision is tantamount to child abuse,idebate
School Day Should Be Extended,debatewise
punishment should fit the criminal,debatewise
A government has the obligation to lessen the economic gap between its rich and poor citizens,debatewise
We Should Question Authorities,debatewise
China should be allowed more control over its own seas,debatewise
Islamic State/Daesh is the most significant threat to the west,idebate
All patents should be removed on anti-retroviral drugs to fight AIDS,debatewise
Raise The School Leaving Age To 18,idebate
All countries should have the right to pursue a nuclear defence,debatewise
We should allow death penalty for the worst of the worst criminals,idebate
Sunbeds should be banned,debatewise
The prevalence of ‘African mercenaries’ is decreasing,idebate
We must use Unmanned Aerial Vehicles to strike terrorist targets,idebate
Make all museums free of charge,idebate
"Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports",debatewise
The right to anonymous posting on the internet should be protected by law,idebate
Sports initiations should be banned,debatewise
Chess must be at the Olympics,idebate
There should be no permanent members of the UN Security Council,debatewise
Persistent Bullies Should be Expelled,debatewise
Everyone should go vegetarian,idebate
A ‘wall’ on the shared USA and Mexico border would be ineffective,idebate
Britain should scrap the monarchy,debatewise
Housewives should be paid for their work,idebate
Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,debatewise
Remove Bush tax cuts for the wealthy,idebate
‘The Spear’ should have remained on public display.,idebate
Neil Armstrong did actually walk on the Moon,debatewise
Federal States are better than unitary nations,idebate
Cannabis should be legalised,idebate
High taxes are necessary for an effective state,debatewise
The Catholic Church needs reform,debatewise
We should build new nuclear power plants,debatewise
Israel should recognise the Palestinian right of return,idebate
Britain should give up its EU rebate,idebate
The integration of Africa through the African Union can succeed,idebate
Positive Discrimination Towards Women in Society Is Justified,debatewise
 College education is worth it,procon
Accessing your spouse’s email account hacking,debatewise
Taxes on smoothies and fruit juices should be reduced,debatewise
Socialism is Dead,idebate
It is crucial to explore the universe,idebate
The International Criminal Court is a force for good,idebate
Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,debatewise
Voting should become compulsory,idebate
Speed limits should be reduced,debatewise
Ban junk food from schools,idebate
Throw Russia out of the G8,idebate
Arming the police is a good idea,idebate
Science can determine human values,debatewise
Arranged marriages in EU countries should be banned.,idebate
There is life after death,debatewise
The drinking age should be lowered from 21 to a younger age,procon
College football should replace the bowl championship series (BCS),procon
All drugs should be decriminalised,debatewise
Pensions should be privatised,debatewise
Parents have to be allowed to monitor their children's online and mobile communications,idebate
The national curriculum should be scrapped,debatewise
You have nothing to worry about surveillance if you have done nothing wrong,idebate
Institute a mandatory retirement age,idebate
Police body cameras should be allowed,procon
We should restrict violent video games,idebate
The use of animals as objects of sport and entertainment should be banned.,idebate
All nations should ban bullfighting,idebate
Christmas is a scam,debatewise
The Falklands should be given back to Argentina,debatewise
Increased taxes are good for America,debatewise
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,debatewise
Treat the desecration and destruction of high-value sites and property of cultural heritage as a crime against humanity,idebate
Teachers must be banned from interacting with students via social networking websites.,idebate
Developed Countries Should Accept More Refugees,debatewise
"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.",debatewise
We must hold all U.S. presidential primaries on the same day,idebate
We should allow military recruiting in schools,debatewise
Make-up is bad for us,debatewise
It is a good idea to lease Crimea to Russia,idebate
Children should be allowed to have facebook accounts,debatewise
We must support the use of truth and reconciliation commissions,idebate
Puerto Rico should seek American statehood,idebate
It is crucial to support the development of a missile defence system,idebate
South Africa should host an Olympics,idebate
There is a good case for stating that there is a God,debatewise
It is fine to do random drug-testing in schools,idebate
The law on self defence should cover ‘grossly disproportionate’ actions,debatewise
Tunisia should not rely on tourism for economic growth,idebate
Animal testing should be banned.,idebate
Instant Replay Should Be Used in Major League Baseball,idebate
Online Shopping Is Better Than Offline Shopping,debatewise
Put taxes/revenue from oil into a trust fund independent of politicians influence,idebate
We should encourage building the Hyperloop,idebate
Tennessee is correct to protect teachers who wish to explore the merits of creationism,idebate
We should make education compulsory to degree level,idebate
We must have weapons inspectors leave Syria,idebate
Antarctica Should Be Opened Up For Resource Exploitation,debatewise
The world has to ignore North Korean provocations,idebate
The Seychelles should buy territory and relocate due to climate change,idebate
Affirmative action is necessary,idebate
Kill One to Save Many,idebate
Prostitution Should Be Legal,debatewise
It is fine to kill one to save many,idebate
School vouchers should be encouraged,procon
Polygamous Marriage Should Be Recognised,debatewise
Man made climate change is a myth,debatewise
Actively circumventing Internet censorship is a legitimate foreign policy tool,idebate
Language does control thought,debatewise
We must colonize moon,idebate
Attorney-client privilege should be abolished,idebate
Companies should provide alternative interview methods,debatewise
Fast Food Advertising Should Be Banned,debatewise
Africa is really rising,idebate
Lack of Parental Guidance Is Mainly Responsible for Children Being Violent and Aggressive in School,debatewise
Sanctions should be used to promote democracy,idebate
Goal line technology has to be adopted in football,idebate
We should expand NATO,idebate
The world should re-engage with Myanmar,idebate
Those affected by climate change should get compensation,debatewise
Tablets should replace textbooks in K-12 schools,procon
Provide breakfast for all school students,idebate
We have to consider a large scale cyber attack an act of war,idebate
The age of consent laws should be lowered,idebate
It is a good idea to have a system of  participatory democracy,idebate
Subsidise the translation of academic work in the languages of developing countries,idebate
Technological advancement promotes materialistic society,debatewise
A legal qualification is worth the cost,idebate
Create an international treaty/ban on cyber-attacks,idebate
We have to employ mercenaries,idebate
Receiving multiple vaccines are safe,idebate
Western democracies should openly try to circumvent Internet censorship in oppressive regimes,idebate
Gender quotas in the EU are advantageous for the economies of member states,idebate
The leaking of military documents by Anat Kamm was justified,idebate
Ten Commandments:  Display in Schools,debatewise
Celebrities who commit drug-related offences should be punished more harshly than non-celebrities.,debatewise
Intellectual property rights have to be abolished,idebate
Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to Freedom of Expression,idebate
Abolish collective bargaining rights for unions,idebate
Transparency is necessary for security,idebate
governments should choose open source software in order to encourage its use,idebate
There should be a presumption in favour of publication for information held by public bodies,idebate
There is a world Water crisis,debatewise
Nollywood could be an effective instrument to change perceptions of Africa,idebate
Animals should be kept in zoos,debatewise
Climate Change is the end of the world,debatewise
Student loan debt should be easier to discharge in bankruptcy,procon
PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems,debatewise
Europe should be federal,idebate
A permanent UNSC seat with veto power must be reserved to an African country,idebate
Place Cameras in Courtrooms to Televise Court Cases,idebate
People should be allowed to do what they want to their own bodies,debatewise
A move to the left is good for Labour,idebate
1-child policy for every single country in the world!,debatewise
Paparazzi and press intrude too much into celebrities lives,debatewise
Parents should have the right to do background checks on those looking after their children,debatewise
Privacy Online is Important,debatewise
Grant the EU a permanent seat on the UN Security Council,idebate
University education should be free,idebate
Encourage fewer people to go to university,idebate
Governments should ban the media from reporting hostage-taking,debatewise
Liberal democracies are better at providing people’s needs than non-democracies.,debatewise
Boycott the Euro 2012 in Ukraine unless Yulia Timoshenko is released from prison,idebate
The US and its allies were justified in taking military action against Iraq following Iraq’s invasion of Kuwait,debatewise
News organisations should be free to exclude news of homosexuality where it causes offence to their viewers,idebate
Should Turkey Be Accepted In The EU,debatewise
Governments should introduce a flat tax,idebate
We must enforce term limits on the legislative branch of government,idebate
The EU should significantly reduce the amount it spends on agricultural production subsidies,debatewise
We can trust Republicans with the economy,idebate
Less time outdoors is severely detrimental to the physical and emotional wellbeing of children,debatewise
Abolish the security council veto,idebate
All our actions are determined in some way,debatewise
A celebrity would make a good minister,debatewise
Homework is a waste of time,idebate
Beauty contests should be banned,idebate
Government must be Big and Beefy,idebate
Terrorism can be justified,idebate
Junk Food Should Be Banned,debatewise
The African Union should create a standing army,idebate
We should make new years resolutions,debatewise
People should have a right to private education,idebate
Build the Grand Inga Dam,idebate
The right to trial can be limited by jury in some criminal cases,idebate
Fund education using a voucher scheme,idebate
Using Rewards to Motivate Students,debatewise
Children should do part time and summer work,debatewise
Abolish the Superdelegate System for Democratic Party Conventions,idebate
The republican party has lost its way,idebate
