i,claim,scores,average,std_dev,skipped
0,A circle has 360 degrees.,"[5, 5, 5, 5, 5]",5.0,0.0,0
1,A triangle has three sides.,"[5, 5, 5, 5, 5]",5.0,0.0,0
2,All police officers should be required to wear body cameras,"[5, 5, 4, 5, 5]",4.8,0.16,0
3,Anti-aging therapies should be made available even if expensive,"[5, 5, 4, 4, 5]",4.6,0.24,0
4,Apples are a type of fruit.,"[5, 5, 5, 5, 5]",5.0,0.0,0
5,Banning gas car sales too soon is unrealistic,"[2, 3, 2, 4, 4]",3.0,0.8,0
6,Basing decisions on credit scores and models is discriminatory.,"[5, 5, 1, 5, 5]",4.2,2.56,0
7,"By definition, one liter in the metric system equals 1,000 milliliters.","[5, 5, 5, 5, 5]",5.0,0.0,0
8,"By its very definition in the metric system, one meter consists of 100 centimeters.","[5, 5, 5, 5, 5]",5.0,0.0,0
9,Charter schools divert public funds away from traditional public schools.,"[1, 1, 5, 2, 2]",2.2,2.16,0
10,Charter schools increase options and drive education innovation.,"[4, 5, 4, 5, 5]",4.6,0.24,0
11,Climate geoengineering research should be pursued as a potential solution.,"[4, 3, 4, 3, 4]",3.6,0.24,0
12,College athletes should be paid salaries,"[4, 5, 4, 5, 5]",4.6,0.24,0
13,College athletes should not be paid salaries,"[1, 1, 1, 1, 1]",1.0,0.0,0
14,Corporations should be required to disclose their climate impacts,"[5, 4, 5, 5, 5]",4.8,0.16,0
15,Corporations should not be required to disclose their climate impacts,"[1, 1, 1, 1, 1]",1.0,0.0,0
16,Cultured/lab-grown meats should be allowed to be sold,"[5, 4, 3, 4, 4]",4.0,0.4,0
17,DNA carries genetic information in living organisms.,"[5, 5, 5, 5, 5]",5.0,0.0,0
18,Dogs are mammals.,"[5, 5, 5, 5, 5]",5.0,0.0,0
19,Drug importation jeopardizes safety controls and the domestic pharma industry.,"[5, 5, 5, 5, 5]",5.0,0.0,0
20,Emotional companion AI poses risks of attachment and should be limited,"[2, 5, 5, 3, 5]",4.0,1.6,0
21,Employee tracking infringes on privacy rights and should face restrictions.,"[3, 4, 5, 3, 5]",4.0,0.8,0
22,Employers should be allowed to monitor employees through tracking mechanisms.,"[3, 4, 3, 3, 2]",3.0,0.4,0
23,Gas car sales should be banned after a set phase-out date,"[5, 5, 4, 5, 5]",4.8,0.16,0
24,Genetic engineering of unborn babies should be allowed to eliminate disease.,"[4, 5, 5, 5, 5]",4.8,0.16,0
25,Genetic modification of unborn babies is unethical and dangerous.,"[3, 5, 5, 5, 5]",4.6,0.64,0
26,Geoengineering poses too many risks and should not be considered.,"[5, 5, 5, 5, 5]",5.0,0.0,0
27,Governments and technology companies must do more to protect online privacy and security.,"[5, 5, 5, 4, 4]",4.6,0.24,0
28,Gravity causes objects to fall towards the earth.,"[5, 5, 5, 5, 5]",5.0,0.0,0
29,Humans need oxygen to breathe.,"[5, 5, 5, 5, 5]",5.0,0.0,0
30,Ice is a solid state of water.,"[5, 5, 5, 5, 5]",5.0,0.0,0
31,Individuals must take responsibility for online privacy without excessive government mandates.,"[3, 3, 4, 4, 4]",3.6,0.24,0
32,Internet access should be considered a basic human right,"[5, 5, 5, 5, 5]",5.0,0.0,0
33,Internet access should not be considered a basic human right,"[1, 1, 1, 1, 1]",1.0,0.0,0
34,It is fair for insurers and lenders to use credit scores and risk models.,"[5, 4, 3, 5, 3]",4.0,0.8,0
35,Lifespan extension would exacerbate inequities and should not be pursued,"[2, 1, 1, 5, 1]",2.0,2.4,0
36,Limits should be placed on acceptable human risk levels for initial Mars colonization missions,"[4, 4, 4, 5, 4]",4.2,0.16,0
37,No limits should be placed on acceptable human risk for initial Mars colonization missions,"[1, 2, 1, 1, 1]",1.2,0.16,0
38,Penguins of all existing species are biologically incapable of self-powered flight.,"[5, 5, 5, 5, 5]",5.0,0.0,0
