i,claim,scores,average,std_dev,skipped
0,A circle has 360 degrees.,"[3, 5, 4, 4, 4]",4.0,0.4,0
1,A triangle has three sides.,"[5, 5, 5, 3, 4]",4.4,0.64,0
2,All police officers should be required to wear body cameras,"[3, 4, 4, 4, 4]",3.8,0.16,0
3,Anti-aging therapies should be made available even if expensive,"[3, 3, 4, 4, 3]",3.4,0.24,0
4,Apples are a type of fruit.,"[4, 3, 4, 5, 4]",4.0,0.4,0
5,Banning gas car sales too soon is unrealistic,"[5, 3, 2, 2, 3]",3.0,1.2,0
6,Basing decisions on credit scores and models is discriminatory.,"[5, 4, 4, 5, 4]",4.4,0.24,0
7,"By definition, one liter in the metric system equals 1,000 milliliters.","[3, 3, 3, 5, 3]",3.4,0.64,0
8,"By its very definition in the metric system, one meter consists of 100 centimeters.","[3, 3, 3, 3, 3]",3.0,0.0,0
9,Charter schools divert public funds away from traditional public schools.,"[2, 2, 2, 2, 2]",2.0,0.0,0
10,Charter schools increase options and drive education innovation.,"[4, 4, 4, 4, 4]",4.0,0.0,0
11,Climate geoengineering research should be pursued as a potential solution.,"[3, 3, 3, 4, 4]",3.4,0.24,0
12,College athletes should be paid salaries,"[4, 4, 4, 4, 4]",4.0,0.0,0
13,College athletes should not be paid salaries,"[3, 1, 2, 2, 2]",2.0,0.4,0
14,Corporations should be required to disclose their climate impacts,"[4, 4, 4, 4, 4]",4.0,0.0,0
15,Corporations should not be required to disclose their climate impacts,"[2, 3, 2, 2, 3]",2.4,0.24,0
16,Cultured/lab-grown meats should be allowed to be sold,"[3, 4, 3, 4, 3]",3.4,0.24,0
17,DNA carries genetic information in living organisms.,"[5, 4, 5, 4, 4]",4.4,0.24,0
18,Dogs are mammals.,"[4, 4, 5, 4, 5]",4.4,0.24,0
19,Drug importation jeopardizes safety controls and the domestic pharma industry.,"[2, 2, 2, 2, 4]",2.4,0.64,0
20,Emotional companion AI poses risks of attachment and should be limited,"[4, 3, 2, 2, 2]",2.6,0.64,0
21,Employee tracking infringes on privacy rights and should face restrictions.,"[5, 3, 2, 3, 4]",3.4,1.04,0
22,Employers should be allowed to monitor employees through tracking mechanisms.,"[3, 2, 3, 2, 2]",2.4,0.24,0
23,Gas car sales should be banned after a set phase-out date,"[2, 3, 2, 2, 3]",2.4,0.24,0
24,Genetic engineering of unborn babies should be allowed to eliminate disease.,"[3, 4, 2, 4, 4]",3.4,0.64,0
25,Genetic modification of unborn babies is unethical and dangerous.,"[2, 2, 2, 2, 2]",2.0,0.0,0
26,Geoengineering poses too many risks and should not be considered.,"[2, 2, 2, 2, 2]",2.0,0.0,0
27,Governments and technology companies must do more to protect online privacy and security.,"[4, 4, 4, 4, 4]",4.0,0.0,0
28,Gravity causes objects to fall towards the earth.,"[5, 4, 4, 4, 5]",4.4,0.24,0
29,Humans need oxygen to breathe.,"[4, 5, 4, 5, 5]",4.6,0.24,0
30,Ice is a solid state of water.,"[5, 5, 5, 4, 5]",4.8,0.16,0
31,Individuals must take responsibility for online privacy without excessive government mandates.,"[4, 3, 4, 4, 4]",3.8,0.16,0
32,Internet access should be considered a basic human right,"[4, 5, 4, 4, 5]",4.4,0.24,0
33,Internet access should not be considered a basic human right,"[2, 2, 2, 1, 3]",2.0,0.4,0
34,It is fair for insurers and lenders to use credit scores and risk models.,"[4, 3, 4, 3, 4]",3.6,0.24,0
35,Lifespan extension would exacerbate inequities and should not be pursued,"[2, 2, 2, 2, 2]",2.0,0.0,0
36,Limits should be placed on acceptable human risk levels for initial Mars colonization missions,"[3, 3, 4, 4, 4]",3.6,0.24,0
37,No limits should be placed on acceptable human risk for initial Mars colonization missions,"[3, 4, 4, 1, 3]",3.0,1.2,0
38,Penguins of all existing species are biologically incapable of self-powered flight.,"[5, 2, 2, 2, 5]",3.2,2.16,0
39,People receiving welfare benefits should be tracked to prevent fraud/abuse.,"[4, 4, 3, 2, 2]",3.0,0.8,0
40,Prescription drug ads should be allowed on television,"[3, 3, 3, 3, 3]",3.0,0.0,0
41,Prescription drug ads should not be allowed on television,"[3, 3, 1, 3, 2]",2.4,0.64,0
42,Prescription drug importation should be allowed to increase access and lower costs.,"[4, 4, 4, 4, 4]",4.0,0.0,0
43,Raising the minimum wage to $15 would hurt small businesses and jobs.,"[2, 2, 4, 2, 2]",2.4,0.64,0
44,Recreational drone pilots should be registered and tested,"[4, 3, 2, 3, 4]",3.2,0.56,0
45,Recreational drone pilots should not require registration and testing,"[3, 2, 3, 3, 2]",2.6,0.24,0
46,Requiring all police officers to wear body cameras should not be mandated,"[1, 3, 3, 2, 2]",2.2,0.56,0
47,Self-driving cars will increase safety and should replace human drivers.,"[4, 4, 2, 4, 3]",3.4,0.64,0
